NAME,AGE,GENDER,SSN,BLOOD GROUP,RELIGION,SALARY,DISEASES,STATE,PINCODE
COLUM,20,F,1793,O+,MUSLIM,216431,TYPHOID,ANDHRA PRADESH,533284
AMOLPREET,61,F,1232,AB-,HINDU,219685,STROKE,HARYANA,125111
ALED,27,M,1111,A+,SIKH,219973,SWINE FLU,PUNJAB,143504
ZAINE,31,M,1596,B+,SIKH,226269,ASTHMA,ANDHRA PRADESH,533287
RANA,39,M,1330,AB-,CHRISTIAN,202438,INFLUENZA,GUJARAT,393151
DAOOD,63,F,1532,A-,CHRISTIAN,214518,JAUNDICE,ANDHRA PRADESH,523336
ELYAN,28,M,1580,B-,SIKH,216420,TYPHOID,HIMACHAL PRADESH,175023
DARRACH,25,F,1461,A-,CHRISTIAN,209033,STROKE,MAHARASHTRA,413716
FILIP,40,M,1922,O+,HINDU,208474,TETANUS,ANDHRA PRADESH,521332
ZIYAAN,32,F,1237,O-,CHRISTIAN,202007,HYPERTENSION,UTTAR PRADESH,209205
JADON,89,F,1688,A+,SIKH,229189,RABIES,HIMACHAL PRADESH,171220
JUSTINAS,68,F,1277,AB+,MUSLIM,203789,SWINE FLU,UTTAR PRADESH,284406
COBY,54,F,1082,B-,HINDU,212352,TETANUS,JHARKHAND,835213
JAYDEN-THOMAS,69,M,1652,O-,CHRISTIAN,210294,BRAIN TUMOUR,ANDHRA PRADESH,524223
ESSA,27,F,1338,B+,SIKH,227589,JAUNDICE,PUNJAB,143501
CIARAN,39,F,1160,AB-,CHRISTIAN,220169,DIARRHEA,PUNJAB,144210
FERGAL,61,F,1857,O-,CHRISTIAN,213004,JAUNDICE,KARNATAKA,580020
TEIGHEN,39,F,1406,O-,HINDU,213513,INFLUENZA,ANDHRA PRADESH,516361
TAIWO,63,F,1728,B-,HINDU,207141,DIABETES,ANDHRA PRADESH,533428
ANNAN,53,F,1395,O-,MUSLIM,225927,DIARRHEA,ANDHRA PRADESH,524239
ROB,44,M,1889,A-,MUSLIM,224208,MEASLES,ANDHRA PRADESH,515331
SIDDHARTH,54,F,1570,A-,MUSLIM,228174,ASTHMA,KERALA,695303
RUFUS,47,M,1288,AB-,MUSLIM,225207,TYPHOID,ANDHRA PRADESH,531219
RUAIDHRI,19,F,1988,A+,SIKH,229616,ARTHRITIS,ANDHRA PRADESH,535160
SPONDON,83,M,1073,AB+,HINDU,204624,DIARRHEA,ANDHRA PRADESH,518135
AMRIT,46,M,1980,A-,SIKH,212712,EBOLA,ANDHRA PRADESH,534239
KADIN,47,F,1781,O-,SIKH,232503,EBOLA,ANDHRA PRADESH,517561
KAEDEN,77,M,1841,B+,MUSLIM,201730,MEASLES,ANDHRA PRADESH,521003
SAYEED,90,F,1074,B-,HINDU,204586,INFLUENZA,ANDHRA PRADESH,515408
REILLY,56,F,1490,O+,SIKH,229163,CHOLERA,KERALA,690504
GENE,60,M,1488,B-,MUSLIM,200625,ASTHMA,RAJASTHAN,313706
TAYYAB,21,M,1124,B+,MUSLIM,204151,SMALL POX,ANDHRA PRADESH,535145
UBAID,89,M,1365,AB+,HINDU,215495,DIABETES,PUNJAB,143411
ROBBIE-LEE,36,F,1549,A-,MUSLIM,223701,EBOLA,ANDHRA PRADESH,522113
SEAN-JAMES,65,M,1328,AB-,CHRISTIAN,218217,ARTHRITIS,ANDHRA PRADESH,522235
JORDY,93,F,1870,AB-,SIKH,222385,HEART ATTACK,ANDHRA PRADESH,535521
HADJI,36,M,1748,B+,CHRISTIAN,203881,TETANUS,ASSAM,784027
AIREN,68,M,1140,O+,CHRISTIAN,224237,SMALL POX,ANDHRA PRADESH,515211
EOGHAN,27,M,1540,B+,HINDU,214837,DIARRHEA,ANDHRA PRADESH,524316
RAMIT,71,F,1810,B+,MUSLIM,229911,SWINE FLU,ANDHRA PRADESH,521003
CODI,38,M,1334,A+,MUSLIM,220555,ARTHRITIS,HIMACHAL PRADESH,176061
ARON,27,F,1860,AB+,SIKH,208465,CHOLERA,ANDHRA PRADESH,535250
SUKHI,46,F,1687,B-,MUSLIM,228290,HEPATITIS,ANDHRA PRADESH,523241
ALASTAIR,57,F,1317,O+,CHRISTIAN,202032,JAUNDICE,ANDHRA PRADESH,524228
ANMOLPREET,65,F,1328,AB+,CHRISTIAN,217726,ARTHRITIS,ANDHRA PRADESH,532168
JOSAN,72,M,1731,B+,SIKH,209401,JAUNDICE,ANDHRA PRADESH,535521
EFE,57,M,1549,A-,MUSLIM,210119,BRAIN TUMOUR,HARYANA,125102
ZAMAAR,53,M,1652,O+,MUSLIM,222946,ASTHMA,ODISHA,767028
AMIR,35,F,1961,AB+,HINDU,218425,HYPERTENSION,ANDHRA PRADESH,535591
AREEZ,60,M,1335,A+,CHRISTIAN,220683,RABIES,KERALA,691522
ERNIE-JACKS,38,F,1100,AB-,HINDU,223728,HYPERTENSION,ANDHRA PRADESH,535183
AMRO,73,M,1670,A+,SIKH,223973,SMALL POX,NAGALAND,798627
ZAIN,76,F,1942,AB+,SIKH,212095,HEPATITIS,ANDHRA PRADESH,515004
HABEEB,83,F,1577,B-,CHRISTIAN,222580,RABIES,ANDHRA PRADESH,530047
DARREN,86,M,1021,O+,HINDU,210772,ASTHMA,HIMACHAL PRADESH,171005
ZI,20,M,1866,A-,SIKH,211331,STROKE,UTTAR PRADESH,271309
AEDIN,47,M,1670,O+,HINDU,212658,SWINE FLU,ANDHRA PRADESH,534111
GIDEON,49,M,1375,O-,HINDU,214062,AIDS,HIMACHAL PRADESH,176401
RAYMOND,43,M,1292,B-,MUSLIM,231645,CANCER,ASSAM,786007
CLARKE,89,F,1867,O+,MUSLIM,229958,AIDS,ANDHRA PRADESH,534111
RHUAIRIDH,70,M,1992,A+,MUSLIM,222136,AIDS,ANDHRA PRADESH,517536
JOEY,59,F,1010,AB+,HINDU,206464,ARTHRITIS,PUNJAB,144802
RICHEY,70,M,1941,AB-,SIKH,211652,MEASLES,HIMACHAL PRADESH,175141
DAIMHIN,39,F,1922,B-,CHRISTIAN,217508,BRAIN TUMOUR,KERALA,689597
HAIDEN,89,M,1635,O+,MUSLIM,231219,TYPHOID,ANDHRA PRADESH,517213
JAYDAN,73,M,1915,A-,HINDU,200575,DIARRHEA,HARYANA,133104
SANDY,68,F,1361,A+,HINDU,227880,CANCER,WEST BENGAL,712246
RAEES,89,F,1492,AB+,SIKH,216054,DIARRHEA,HIMACHAL PRADESH,171011
JAKOB,33,F,1357,B+,SIKH,225727,CHOLERA,ANDHRA PRADESH,532263
FRUIN,26,F,1029,B+,MUSLIM,220599,JAUNDICE,MAHARASHTRA,415727
ARIA,67,F,1472,B+,SIKH,213034,CANCER,KARNATAKA,585443
SAMARJIT,43,M,1980,AB-,MUSLIM,217205,HEART ATTACK,BIHAR,844127
PRESTON,90,F,1639,A-,CHRISTIAN,229051,HEART ATTACK,ANDHRA PRADESH,521163
GREGOR,40,M,1774,A+,SIKH,227982,DIABETES,ANDHRA PRADESH,517429
RYLEIGH,58,M,1616,AB+,SIKH,227151,HEPATITIS,MAHARASHTRA,431703
RYLIE,30,M,1907,AB+,HINDU,214098,HEART ATTACK,MAHARASHTRA,415526
EDISON,38,F,1847,AB+,HINDU,214206,EBOLA,HARYANA,136034
SULAYMAN,61,M,1734,A-,SIKH,225473,ARTHRITIS,PUNJAB,151505
THEODORE,25,M,1614,A+,CHRISTIAN,217922,HYPERTENSION,KARNATAKA,585401
DEON,93,M,1118,A-,HINDU,230896,EBOLA,MAHARASHTRA,401107
JAY-JAY,25,F,1663,B+,HINDU,205974,TYPHOID,HIMACHAL PRADESH,173204
AON,69,M,1932,B-,HINDU,201537,HEPATITIS,TAMIL NADU,635104
GUY,30,M,1036,B+,CHRISTIAN,226352,INFLUENZA,KERALA,689662
DEVIN,79,F,1800,O-,HINDU,214020,STROKE,MAHARASHTRA,415626
RAPHAEL,49,M,1366,O-,SIKH,202171,TYPHOID,KERALA,678544
SHERGO,68,M,1078,B-,HINDU,213298,RABIES,ANDHRA PRADESH,521326
EHSAN,57,F,1171,B+,CHRISTIAN,216166,INFLUENZA,BIHAR,821109
FERGIE,79,M,1033,B-,CHRISTIAN,225739,JAUNDICE,NAGALAND,798614
EIHLI,68,M,1013,O+,MUSLIM,217780,TETANUS,ANDHRA PRADESH,516464
GRIFFIN,58,M,1617,AB-,CHRISTIAN,225311,HEART ATTACK,GUJARAT,364240
ANTONYO,81,F,1529,A+,MUSLIM,206051,HEPATITIS,MAHARASHTRA,412409
RAFFERTY,41,F,1742,AB-,MUSLIM,202599,STROKE,ANDHRA PRADESH,535573
AINSLIE,80,M,1324,AB-,HINDU,216983,DIARRHEA,BIHAR,801302
DION,53,M,1649,B+,CHRISTIAN,210233,BRAIN TUMOUR,UTTAR PRADESH,209306
FAYSAL,55,F,1829,O+,MUSLIM,202800,HEPATITIS,JHARKHAND,825322
GEORDIE,38,F,1690,AB+,HINDU,217265,STROKE,UTTARAKHAND,246174
ALHAJI,94,F,1860,AB+,MUSLIM,225575,AIDS,ANDHRA PRADESH,531162
JUN,87,F,1235,AB-,MUSLIM,221910,STROKE,MAHARASHTRA,411002
JEAN,42,M,1210,O+,CHRISTIAN,219514,SMALL POX,ANDHRA PRADESH,522508
SANJAY,44,M,1228,AB+,HINDU,211858,SWINE FLU,BIHAR,843112
STEFAN,39,F,1150,AB+,SIKH,212337,CANCER,ANDHRA PRADESH,516001
TIERAN,40,F,1847,AB-,CHRISTIAN,232692,DENGUE,ANDHRA PRADESH,517351
ABUBAKAR,28,F,1481,B-,HINDU,205289,CANCER,ANDHRA PRADESH,532425
RICCARDO,47,F,1754,O-,SIKH,225800,EBOLA,DELHI,110025
ANUBHAV,59,F,1957,O-,HINDU,230595,SMALL POX,HIMACHAL PRADESH,176098
DARL,46,F,1642,A+,SIKH,207231,EBOLA,ANDHRA PRADESH,522124
ALIEU,20,M,1227,O+,CHRISTIAN,227994,SMALL POX,UTTAR PRADESH,262804
RUI,27,M,1893,O-,HINDU,221878,RABIES,MAHARASHTRA,413713
JAISE,15,M,1977,AB+,SIKH,215739,CHOLERA,KERALA,691601
DAMIAN,76,F,1700,AB-,CHRISTIAN,225422,STROKE,WEST BENGAL,723128
QIRUI,85,F,1335,O+,SIKH,212326,HEART ATTACK,ANDHRA PRADESH,522309
SALTER,69,M,1823,A+,SIKH,224487,AIDS,ANDHRA PRADESH,521311
ARMAN,21,M,1213,O+,SIKH,214040,ASTHMA,UTTAR PRADESH,284403
JAZIB,72,F,1279,O+,CHRISTIAN,205621,CHICKEN POX,ANDHRA PRADESH,524003
TALON,30,M,1927,B+,MUSLIM,212270,TYPHOID,PUNJAB,143305
IVAR,31,F,1441,O+,CHRISTIAN,216916,AIDS,ANDHRA PRADESH,534266
COLT,82,M,1339,A-,SIKH,208596,DIARRHEA,JHARKHAND,828205
FELIX,65,F,1625,O+,HINDU,220431,JAUNDICE,ANDHRA PRADESH,515311
ZISHAN,33,F,1657,AB+,SIKH,211579,DIARRHEA,KERALA,678631
GEOMER,60,F,1352,O+,CHRISTIAN,209547,ARTHRITIS,ANDHRA PRADESH,521133
ROBBIE-LEE,59,F,1901,AB-,SIKH,222211,CANCER,HIMACHAL PRADESH,177031
RICKY,80,M,1394,AB-,SIKH,214462,TETANUS,PUNJAB,143101
ROBERT,89,M,1412,O-,SIKH,217774,MEASLES,ANDHRA PRADESH,522437
WYLIE,85,M,1890,B+,CHRISTIAN,228031,CHICKEN POX,ANDHRA PRADESH,532220
RUBEN,64,F,1205,A-,HINDU,223895,TETANUS,ANDHRA PRADESH,516321
JADYN,60,F,1433,O-,HINDU,203676,TETANUS,ANDHRA PRADESH,531060
DANE,23,F,1080,A-,CHRISTIAN,230868,HEPATITIS,ANDHRA PRADESH,524317
PRITHVI,74,M,1157,O-,MUSLIM,203890,SWINE FLU,HARYANA,132037
JAIME,61,M,1976,B-,HINDU,224828,ARTHRITIS,ANDHRA PRADESH,532290
DHAVID,51,M,1763,B+,HINDU,203464,CHOLERA,ANDHRA PRADESH,516454
CONLON,61,M,1818,O-,SIKH,228541,JAUNDICE,WEST BENGAL,723121
ELLISANDRO,60,F,1160,A+,SIKH,218040,RABIES,TAMIL NADU,631210
RAMIT,78,F,1488,A+,HINDU,223600,EBOLA,ANDHRA PRADESH,521190
TORIN,23,M,1588,A+,MUSLIM,216878,MALARIA,ANDHRA PRADESH,535183
FYFE,30,F,1231,O+,SIKH,213713,ASTHMA,ANDHRA PRADESH,522259
RYDER,57,M,1613,AB+,MUSLIM,201020,SWINE FLU,JHARKHAND,825103
JAY,82,F,1624,A-,CHRISTIAN,202136,DIARRHEA,KERALA,679586
CONLIN,54,F,1250,A+,SIKH,203274,BRAIN TUMOUR,HIMACHAL PRADESH,172110
KABIR,20,M,1608,AB+,SIKH,229968,DENGUE,KARNATAKA,581209
SHENUK,72,F,1205,O+,SIKH,210238,INFLUENZA,ARUNACHAL PRADESH,791001
JUSTAN,17,F,1957,O+,SIKH,218456,DENGUE,ANDHRA PRADESH,535161
RICHEY,30,F,1943,B+,MUSLIM,223592,DENGUE,ANDHRA PRADESH,515765
ANSELM,83,F,1998,AB+,HINDU,231732,SMALL POX,MAHARASHTRA,415706
GURVEER,38,M,1189,AB+,HINDU,207965,SWINE FLU,ANDHRA PRADESH,532218
DARIEN,66,M,1538,A+,CHRISTIAN,214994,CANCER,ASSAM,783380
JAYDYN,16,F,1878,O+,MUSLIM,210020,ARTHRITIS,JHARKHAND,825403
CILLIAN,29,M,1502,B+,SIKH,219882,DENGUE,ANDHRA PRADESH,523273
ELLIOTT,17,M,1098,A-,SIKH,205443,TETANUS,NAGALAND,797103
DEVIN,24,M,1867,A-,MUSLIM,215127,JAUNDICE,ANDHRA PRADESH,522202
SCOTT,67,M,1041,A+,HINDU,202164,ARTHRITIS,ANDHRA PRADESH,523331
DILAN,87,M,1120,A-,SIKH,212084,HYPERTENSION,BIHAR,803114
ALF,69,M,1920,B-,HINDU,209341,EBOLA,KERALA,670643
SHERWYN,28,F,1974,B-,HINDU,216295,CANCER,ANDHRA PRADESH,515812
TANE,43,F,1050,B+,SIKH,226169,BRAIN TUMOUR,PUNJAB,143118
COBIE,59,M,1268,AB-,HINDU,230798,MALARIA,SIKKIM,737116
TADHG,84,M,1280,A-,HINDU,231150,DIARRHEA,ANDHRA PRADESH,523212
JOHNJAY,47,M,1677,AB-,MUSLIM,201589,INFLUENZA,JHARKHAND,828204
DYLLON,90,M,1120,B-,SIKH,211385,DIABETES,ANDHRA PRADESH,523333
VALO,94,F,1645,B+,SIKH,208116,SMALL POX,HIMACHAL PRADESH,177112
JONAH,27,M,1673,B-,SIKH,210788,SWINE FLU,ANDHRA PRADESH,521366
DAMIAN,32,F,1672,A+,MUSLIM,220663,HYPERTENSION,ANDHRA PRADESH,535003
REMIGIUSZ,87,M,1179,A+,SIKH,216895,CHICKEN POX,ANDHRA PRADESH,523271
RALPH,20,F,1538,O+,HINDU,212433,HEPATITIS,WEST BENGAL,723121
DERRIN,81,M,1679,O+,MUSLIM,222746,SMALL POX,PUNJAB,144305
AREEZ,45,F,1561,A+,CHRISTIAN,219924,ARTHRITIS,PUNJAB,142050
AIDEN-VEE,46,F,1674,A-,MUSLIM,209420,HYPERTENSION,PUNJAB,142050
CONLLY,81,M,1177,A+,MUSLIM,216834,HEPATITIS,ANDHRA PRADESH,524203
GUSTAV,50,F,1195,AB-,CHRISTIAN,219340,CANCER,KARNATAKA,591156
COBAN,54,F,1497,AB-,SIKH,205230,AIDS,NAGALAND,797116
ELSHAN,71,F,1732,AB-,CHRISTIAN,205462,STROKE,WEST BENGAL,721659
SZYMON,50,M,1557,AB+,SIKH,217479,MALARIA,ODISHA,761114
JOHANN,44,M,1619,B+,HINDU,212250,ASTHMA,KERALA,689597
DECLYAN,71,M,1323,O-,CHRISTIAN,213426,HEART ATTACK,ANDHRA PRADESH,532462
ZAYD,42,F,1205,AB+,MUSLIM,205874,CANCER,BIHAR,803116
GHYLL,93,M,1987,AB+,CHRISTIAN,217460,INFLUENZA,HARYANA,132102
JAIDEN,24,M,1106,B-,MUSLIM,217667,DIARRHEA,BIHAR,845101
D'ARCY,70,F,1014,O+,SIKH,218747,SMALL POX,UTTAR PRADESH,262901
SALMAN,50,F,1514,O+,MUSLIM,202031,ARTHRITIS,PUNJAB,144805
JOSHUA,37,F,1433,AB-,CHRISTIAN,230600,TYPHOID,HIMACHAL PRADESH,173101
ANSELM,93,F,1282,B-,CHRISTIAN,209458,ARTHRITIS,MAHARASHTRA,412307
RHOLMARK,58,F,1560,O-,MUSLIM,224028,CHICKEN POX,ANDHRA PRADESH,533262
CREAG,49,F,1888,O-,HINDU,228791,BRAIN TUMOUR,TAMIL NADU,635107
SHAHMIR,18,M,1295,AB-,MUSLIM,201661,CANCER,ANDHRA PRADESH,517620
ESSA,65,F,1456,A+,CHRISTIAN,213640,EBOLA,ANDHRA PRADESH,522112
SEBASTIEN,46,M,1695,O+,SIKH,202382,TETANUS,ANDHRA PRADESH,523304
FABIAN,19,F,1049,AB+,SIKH,221370,DIABETES,ANDHRA PRADESH,534475
SUKHVIR,79,M,1066,O+,CHRISTIAN,227883,RABIES,ANDHRA PRADESH,523225
REGGIE,64,M,1655,O+,CHRISTIAN,202043,DIABETES,HIMACHAL PRADESH,176059
EASTON,69,F,1307,A+,HINDU,216853,DIARRHEA,ANDHRA PRADESH,535463
CONNALL,22,F,1279,A+,MUSLIM,231884,MEASLES,UTTAR PRADESH,261506
RICO,52,M,1037,O-,HINDU,206775,HEART ATTACK,HIMACHAL PRADESH,175032
RAYDEN,48,F,1361,O+,CHRISTIAN,200556,HEPATITIS,ANDHRA PRADESH,523327
ADDISSON,31,M,1546,AB-,MUSLIM,202624,CHOLERA,ANDHRA PRADESH,535218
SULAYMAN,42,M,1749,B-,SIKH,227934,INFLUENZA,HARYANA,132054
JEAN-LEWIS,39,M,1593,B+,HINDU,228145,DIARRHEA,KERALA,673573
COREY-JAMES,21,F,1954,A-,HINDU,231858,HEART ATTACK,ANDHRA PRADESH,533435
JARELL,76,F,1627,B-,HINDU,219514,HYPERTENSION,PUNJAB,143408
JONNY,85,F,1499,AB-,MUSLIM,229423,HYPERTENSION,ANDHRA PRADESH,533262
GIAN,77,M,1495,AB-,CHRISTIAN,230807,SWINE FLU,BIHAR,821106
DEREK,82,M,1374,AB-,MUSLIM,216338,ASTHMA,ASSAM,784161
SHEAFAN,80,F,1806,O-,SIKH,213662,HYPERTENSION,ASSAM,784167
FAIZAAN,41,F,1345,O+,CHRISTIAN,232640,AIDS,ANDHRA PRADESH,522649
TEODOR,70,F,1749,A-,SIKH,230895,HEPATITIS,PUNJAB,146103
ALVERN,64,M,1381,B+,HINDU,211080,DIARRHEA,ANDHRA PRADESH,533262
JAYDAN,71,F,1211,A+,SIKH,222790,SWINE FLU,ANDHRA PRADESH,524319
SORLEY,56,F,1271,A+,SIKH,217243,AIDS,HIMACHAL PRADESH,177103
TYLER,42,M,1407,O-,MUSLIM,229472,HYPERTENSION,HARYANA,123024
AHMAD,35,M,1086,B-,CHRISTIAN,215474,CHOLERA,RAJASTHAN,313704
DION,73,F,1769,B+,HINDU,213971,DIABETES,NAGALAND,797004
WYNN,24,F,1163,AB+,CHRISTIAN,221429,SWINE FLU,BIHAR,803116
DEVLIN,45,F,1031,O-,SIKH,202466,INFLUENZA,ANDHRA PRADESH,522316
TALHA,58,M,1585,AB+,HINDU,202762,SWINE FLU,ANDHRA PRADESH,532425
ANDREI,17,M,1856,AB+,CHRISTIAN,214158,EBOLA,ASSAM,784147
ZARRAN,51,F,1460,O+,SIKH,221817,MALARIA,ANDHRA PRADESH,517291
ZHEN,73,F,1871,O-,HINDU,224487,DIABETES,ANDHRA PRADESH,522202
FIONN,71,M,1680,AB-,HINDU,225716,SMALL POX,UTTAR PRADESH,284406
DEVIN,89,M,1674,AB+,MUSLIM,215944,MEASLES,BIHAR,821101
WILKIE,33,M,1206,AB-,SIKH,221433,DIARRHEA,WEST BENGAL,721642
SEB,61,M,1181,A-,HINDU,224439,INFLUENZA,ANDHRA PRADESH,524230
EADIE,31,F,1607,O+,SIKH,206748,MALARIA,PUNJAB,141004
TEYDREN,41,M,1263,O+,MUSLIM,215348,DIARRHEA,ANDHRA PRADESH,522408
AODHAN,57,F,1142,A-,SIKH,226031,STROKE,HARYANA,125102
TJ,49,M,1719,AB+,HINDU,229608,HEPATITIS,ANDHRA PRADESH,522612
AIDY,18,F,1194,AB-,CHRISTIAN,229102,ARTHRITIS,ANDHRA PRADESH,533483
DOLAN,34,M,1720,O-,CHRISTIAN,231509,ASTHMA,UTTAR PRADESH,262724
HARIS,52,F,1319,AB+,HINDU,200015,HEPATITIS,ANDHRA PRADESH,522316
JARNO,29,M,1848,A+,HINDU,223676,SWINE FLU,HIMACHAL PRADESH,175050
DONNACHA,46,M,1464,A+,MUSLIM,207416,EBOLA,JAMMU & KASHMIR,184205
ANTHONY,52,M,1541,AB-,SIKH,223035,HEPATITIS,PUNJAB,148021
RYESE,36,F,1029,AB+,HINDU,226086,SMALL POX,HARYANA,124303
FEZAAN,43,F,1459,A-,SIKH,217896,RABIES,ANDHRA PRADESH,523270
ANDREA,80,F,1413,B-,SIKH,204544,HYPERTENSION,UTTAR PRADESH,284403
ABDULKADIR,39,M,1305,B-,SIKH,219907,JAUNDICE,MAHARASHTRA,413722
WEN,53,M,1233,B+,MUSLIM,210342,HEPATITIS,ANDHRA PRADESH,517297
TYMOTEUSZ,25,M,1494,O+,HINDU,208438,DENGUE,ANDHRA PRADESH,535547
DARACH,76,F,1357,O+,CHRISTIAN,231267,AIDS,HIMACHAL PRADESH,176323
ALEKSANDR,89,M,1589,B-,CHRISTIAN,227596,BRAIN TUMOUR,ASSAM,785001
SHAUGHN,17,F,1893,B-,HINDU,219166,AIDS,WEST BENGAL,723133
ZEN,33,F,1153,AB+,MUSLIM,201269,DENGUE,PUNJAB,142011
RHYS-BERNARD,63,M,1335,B-,HINDU,209868,DIARRHEA,KERALA,680104
DAYEM,85,F,1611,AB+,MUSLIM,205345,CANCER,PUNJAB,151202
SAYEED,89,M,1617,B+,CHRISTIAN,212750,EBOLA,UTTAR PRADESH,273405
DANNIEL,93,F,1713,AB-,HINDU,231699,SMALL POX,ANDHRA PRADESH,535559
ALLEN,18,F,1143,B-,SIKH,216526,DENGUE,ASSAM,783360
EMMANUEL,20,M,1261,A-,MUSLIM,207475,DIARRHEA,KARNATAKA,583131
JESUSEUN,65,M,1558,O-,HINDU,220944,SMALL POX,PUNJAB,140111
ARNOLD,70,M,1863,AB-,HINDU,203788,CHICKEN POX,UTTAR PRADESH,271402
REHAAN,16,F,1400,AB-,SIKH,210876,SMALL POX,ASSAM,784179
FERGAL,87,M,1502,A-,MUSLIM,200057,ARTHRITIS,ANDHRA PRADESH,517582
JORDY,92,F,1458,A-,SIKH,229706,CHICKEN POX,KERALA,691512
AIDAN,61,M,1630,A+,MUSLIM,231475,EBOLA,ANDHRA PRADESH,516004
JAKEY,74,F,1737,B-,CHRISTIAN,209986,AIDS,ANDHRA PRADESH,522647
COEL,84,F,1081,O+,HINDU,212907,TYPHOID,PUNJAB,148101
DANAR,74,F,1980,B-,HINDU,222636,HEPATITIS,BIHAR,843123
DONALD,94,M,1020,O+,MUSLIM,231498,MEASLES,PUNJAB,148018
ENNIS,58,M,1382,AB+,HINDU,200189,CHICKEN POX,BIHAR,843111
ARDAL,79,F,1688,O-,HINDU,204734,INFLUENZA,ANDHRA PRADESH,518112
SEPHIROTH,94,M,1162,O+,MUSLIM,214199,INFLUENZA,MAHARASHTRA,416514
RENARS,48,F,1342,A-,CHRISTIAN,228930,SMALL POX,JHARKHAND,825401
JULIAN,69,F,1769,B+,SIKH,227972,MALARIA,KARNATAKA,591121
DARREL,45,F,1758,AB-,CHRISTIAN,231240,STROKE,HIMACHAL PRADESH,176031
SIDDHARTH,36,M,1896,AB-,CHRISTIAN,221110,MEASLES,GUJARAT,382445
WESLEY,33,F,1058,B+,HINDU,212581,DIARRHEA,HARYANA,132107
RICHEY,22,M,1737,A-,MUSLIM,232616,TYPHOID,ANDHRA PRADESH,532203
ROSS-ANDREW,84,M,1424,B-,SIKH,224628,AIDS,BIHAR,843108
JOCK,81,M,1124,B-,SIKH,230693,CHOLERA,UTTAR PRADESH,262802
SIDDHARTH,17,F,1513,B+,CHRISTIAN,205344,ARTHRITIS,ANDHRA PRADESH,515812
FARHAN,24,M,1954,O-,MUSLIM,230261,HEART ATTACK,BIHAR,843128
AJAY,38,M,1257,B+,MUSLIM,210555,ASTHMA,UTTAR PRADESH,209310
JACQUES,28,M,1326,AB-,HINDU,210021,CANCER,PUNJAB,141109
RASUL,92,F,1147,AB-,CHRISTIAN,215090,CANCER,UTTAR PRADESH,241001
SHERGO,67,F,1295,AB+,SIKH,200388,TETANUS,ANDHRA PRADESH,523274
DAMON,31,F,1564,O-,HINDU,214811,HYPERTENSION,GUJARAT,370665
TEIGHEN,77,M,1092,B-,SIKH,224052,HEART ATTACK,PUNJAB,143108
THORBEN,45,F,1374,B+,MUSLIM,203425,RABIES,ANDHRA PRADESH,535221
AEDYN,59,M,1405,B+,HINDU,206193,AIDS,ANDHRA PRADESH,523305
DEAGAN,44,M,1414,AB-,CHRISTIAN,213526,SMALL POX,ANDHRA PRADESH,534315
SAM,68,F,1950,A+,MUSLIM,224041,TYPHOID,BIHAR,821106
FORGAN,32,M,1776,O-,CHRISTIAN,215126,CHICKEN POX,ANDHRA PRADESH,515731
FINN,36,F,1193,A-,CHRISTIAN,205965,ARTHRITIS,HARYANA,123034
ZAKARIA,46,F,1220,B+,MUSLIM,209921,ARTHRITIS,ANDHRA PRADESH,516321
TIREE,77,F,1861,A+,CHRISTIAN,212391,CHOLERA,ANDHRA PRADESH,523201
FAYSAL,24,M,1836,A+,CHRISTIAN,222947,MEASLES,ANDHRA PRADESH,517520
GRIFFIN,73,F,1723,B-,HINDU,226439,DIARRHEA,ANDHRA PRADESH,531032
CORI,93,F,1361,AB-,CHRISTIAN,219396,RABIES,ASSAM,784180
ISSIAKA,65,F,1035,A+,CHRISTIAN,222365,DENGUE,ANDHRA PRADESH,531030
SHAWNPAUL,65,M,1219,O-,MUSLIM,227445,JAUNDICE,MAHARASHTRA,413505
DIMITRI,45,M,1524,A-,HINDU,210199,EBOLA,NAGALAND,797106
UBAYD,17,F,1004,AB-,CHRISTIAN,200912,MEASLES,UTTARAKHAND,263625
ARLO,15,F,1902,A+,HINDU,221323,CHICKEN POX,ANDHRA PRADESH,534342
ARISTOTELIS,23,F,1988,AB-,MUSLIM,224590,AIDS,MAHARASHTRA,414603
RHEO,18,M,1205,O-,MUSLIM,224859,DENGUE,KERALA,679532
ANIR,78,M,1032,O+,CHRISTIAN,227824,ASTHMA,TAMIL NADU,635104
REXFORD,44,M,1774,A-,MUSLIM,231690,BRAIN TUMOUR,ANDHRA PRADESH,533220
SIDHARTH,56,F,1310,O+,CHRISTIAN,206888,AIDS,UTTAR PRADESH,271401
DAUMANTAS,74,F,1233,AB+,MUSLIM,218457,DIABETES,ANDHRA PRADESH,515408
EESA,79,M,1813,O+,HINDU,212221,RABIES,KARNATAKA,571101
RUARIDH,39,M,1401,A+,HINDU,230599,HEPATITIS,HIMACHAL PRADESH,176001
CONNAL,23,F,1933,O+,CHRISTIAN,213086,DIABETES,HIMACHAL PRADESH,171201
SHAUGHN,76,F,1357,AB+,MUSLIM,204122,TETANUS,HIMACHAL PRADESH,175105
DOUGAL,38,F,1615,B-,HINDU,231369,STROKE,ANDHRA PRADESH,534003
CONAR,50,F,1564,B-,HINDU,223004,HEPATITIS,ANDHRA PRADESH,517102
UMER,34,M,1330,AB+,SIKH,207132,AIDS,ASSAM,783135
